epoch,acc,loss,lr,val_acc,val_loss
0,0.8936080740525053,0.24776268093020376,0.001,0.8453865338144754,0.37811880515995167
1,0.8966568545653751,0.23809380855182571,0.001,0.8279301748608711,0.33732896760812126
2,0.9023480591149292,0.23428530908849815,0.001,0.8503740649865452,0.33312977757537154
3,0.9045941968228358,0.22540082250854127,0.001,0.8628428929167198,0.3081342952878695
4,0.9068544997392681,0.22039535806707794,0.001,0.8403990029396856,0.3467739978038759
5,0.9095353239111734,0.21559158931435396,0.001,0.8778054864329293,0.31025201320053636
6,0.9114356253861867,0.2077938460624521,0.001,0.8354114716189758,0.3981598151146325
7,0.9239387724527611,0.18210877597106262,0.000100000005,0.8678304197782293,0.28885538422385293
8,0.9272497898583356,0.17657906006625324,0.000100000005,0.885286783191034,0.2792962206495076
9,0.929247266704591,0.16989626985864167,0.000100000005,0.8703241896748245,0.29647072020017
