epoch,acc,loss,lr,val_acc,val_loss
0,0.720510933620274,0.5373179391183154,0.001,0.7107231921685901,0.6561760931389587
1,0.8034062237268089,0.39906845850708655,0.001,0.6209476315172533,0.9624096439069049
2,0.829279823561091,0.35858302914608475,0.001,0.8104738156099867,0.37692253574022927
3,0.8479289319977177,0.3371917667937339,0.001,0.7356608484748594,0.5615676124940192
4,0.8574432296673724,0.32129472212848714,0.001,0.8204488781027663,0.42279893717266376
5,0.8670483795091273,0.3032950110576568,0.001,0.7980049878284521,0.4760278983603689
6,0.8731260851114153,0.29768525945669055,0.001,0.8254364091261961,0.3696912668292362
7,0.8760513035350231,0.2889096187748786,0.001,0.8553615961586151,0.3010011153885551
8,0.8782590413520925,0.2848408229150116,0.001,0.8229426435401612,0.4112121639703575
9,0.8828596944580273,0.27726524123507035,0.001,0.8578553617446499,0.350079320909971
10,0.883042472763233,0.27086328989078107,0.001,0.8229426436888012,0.4283252017307757
11,0.8877733389496854,0.2661661481296,0.001,0.8653366585027548,0.30630543902330565
12,0.8909798150175604,0.2598837655025109,0.001,0.8653366665293154,0.31813612776318395
13,0.8906340284646105,0.2593861041272482,0.001,0.773067332414023,0.3996366159131105
14,0.9023197096135689,0.23298639264701387,0.000100000005,0.885286783191034,0.2516582175308927
15,0.909071807676725,0.22065759312238,0.000100000005,0.8827930176049991,0.25975430216129286
16,0.9095878890669326,0.21501963183047254,0.000100000005,0.8877805487770689,0.26214296105050683
17,0.9108578033536686,0.21450036530103442,0.000100000005,0.8877805487770689,0.2543199561777852
18,0.9104728843454597,0.2137577615442773,0.000100000005,0.8902743143631039,0.2684518927499243
19,0.9144764508146563,0.20827444120763766,0.000100000005,0.8802992521676042,0.27146770688066457
20,0.9136418554658504,0.20278233924233194,0.000100000005,0.8778054864329293,0.2715743378436476
21,0.9167893189025136,0.19957572758617623,1.0000001e-05,0.885286783191034,0.26913136280980193
22,0.9196278386482228,0.1954066819394645,1.0000001e-05,0.8877805487770689,0.2659819572420786
23,0.9193650126939716,0.19619510019365682,1.0000001e-05,0.8827930239965196,0.26956401302820615
24,0.9154226241196225,0.20515657366818182,1.0000001e-05,0.8877805487770689,0.26737030025134956
25,0.9178967275883512,0.199185179967887,1.0000001e-05,0.885286783191034,0.26943177059106993
26,0.9191021868055161,0.19774422195917848,1.0000001e-06,0.885286783191034,0.26941921043574363
27,0.9168418839110157,0.19942881716916586,1.0000001e-06,0.885286783191034,0.268976765640656
28,0.9164213625772146,0.199668759652245,1.0000001e-06,0.885286783191034,0.2696791508622895
29,0.9206282502557761,0.19427405341746595,1.0000001e-06,0.8877805487770689,0.26915207497794136
30,0.9173675357944531,0.19488144126255458,1.0000001e-06,0.8877805487770689,0.2699194432717012
